ID,Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags
45810298,549,2386,HYUNDAI,Sonata,2006,Sedan,Yes,Petrol,3.3,295059 km,6,Automatic,Rear,04-May,Left wheel,Blue,12
45815350,941,1850,LEXUS,RX 400,2008,Jeep,Yes,Hybrid,3.5,364523 km,6,Automatic,4x4,04-May,Left wheel,Black,12
45815398,18826,531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,112645 km,4,Automatic,Front,04-May,Left wheel,Silver,4
45815241,20698,586,TOYOTA,Prius,2012,Sedan,Yes,Plug-in Hybrid,1.8,187000 km,4,Automatic,Front,04-May,Left wheel,White,12
45729808,17562,1249,TOYOTA,Camry,2017,Sedan,Yes,Petrol,2.5,39709 km,4,Automatic,Front,04-May,Left wheel,Black,12
45802910,1300,-,AUDI,50,2018,Coupe,Yes,Petrol,0.5,4000 km,1,Tiptronic,Rear,>5,Right-hand drive,Blue,0
45809632,8311,-,SUZUKI,CERVO,2010,Universal,No,Petrol,0.6,101000 km,4,Manual,4x4,02-Mar,Right-hand drive,White,2
45808456,2437,-,VAZ,2106,1974,Sedan,No,Petrol,0.6,5200 km,1,Manual,Rear,02-Mar,Left wheel,White,10
45815225,549,2455,LEXUS,GX 470,2008,Jeep,Yes,Petrol,4.7,0 km,8,Automatic,4x4,04-May,Left wheel,White,0
45816384,2437,-,VAZ,2106,1974,Sedan,No,Petrol,0.6,5200 km,1,Manual,Rear,02-Mar,Left wheel,White,10
45815359,14454,583,HYUNDAI,Elantra,2011,Sedan,Yes,Petrol,1.6,158787 km,4,Automatic,Front,04-May,Left wheel,Silver,4
45809986,12074,1537,TOYOTA,Highlander,2009,Jeep,Yes,Hybrid,3.3,420550 km,6,Automatic,4x4,04-May,Left wheel,Blue,12
45642649,15681,1288,MERCEDES-BENZ,Vito,2007,Goods wagon,No,Diesel,2.0 Turbo,180000 km,6,Manual,Rear,04-May,Left wheel,White,4
45815365,19444,915,PORSCHE,Cayenne,2014,Jeep,Yes,Diesel,3,175056 km,6,Automatic,4x4,04-May,Left wheel,White,12
45810013,314,-,MOSKVICH,401,1953,Hatchback,No,Petrol,0.6,150000 km,4,Manual,Rear,04-May,Left wheel,Sky blue,1
45813025,125,1750,TOYOTA,Highlander,2008,Sedan,Yes,Hybrid,3.3,287274 km,6,Automatic,4x4,04-May,Left wheel,White,12
45815365,3136,-,MERCEDES-BENZ,Smart,2002,Coupe,No,Petrol,0.6,10000 km,4,Tiptronic,Rear,02-Mar,Left wheel,Blue,2
45815355,23235,707,HYUNDAI,Santa FE,2011,Jeep,Yes,Diesel,2,162000 km,4,Automatic,Front,04-May,Left wheel,Grey,4
45815365,51746,1077,TOYOTA,CHR Limited,2019,Jeep,No,Petrol,2,10200 km,4,Tiptronic,Front,04-May,Left wheel,Red,12
45815365,7527,1486,HONDA,FIT,2010,Hatchback,No,Hybrid,1.3,158000 km,4,Automatic,Front,04-May,Right-hand drive,Black,4
45815365,19121,531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,103490 km,4,Automatic,Front,04-May,Left wheel,Silver,4
45815383,314,1399,LEXUS,RX 450,2010,Jeep,Yes,Hybrid,3.5,382746 km,6,Automatic,4x4,04-May,Left wheel,Silver,12
45815365,24462,751,TOYOTA,Camry,2013,Sedan,Yes,Petrol,2.4,203200 km,4,Automatic,Front,04-May,Left wheel,Blue,4
45815365,45734,1091,HYUNDAI,H1,2016,Universal,Yes,Diesel,2.5,61057 km,4,Automatic,Front,04-May,Left wheel,Black,4
45803021,20165,650,VOLKSWAGEN,Jetta,2016,Sedan,Yes,Petrol,1.4 Turbo,11200 km,4,Tiptronic,Front,04-May,Left wheel,Black,8
45813025,21326,382,HYUNDAI,Sonata,2014,Sedan,Yes,Hybrid,2.4,141000 km,4,Tiptronic,Front,04-May,Left wheel,White,12
45815365,549,1436,PORSCHE,Cayenne,2010,Jeep,Yes,Petrol,3.6,160259 km,6,Automatic,4x4,04-May,Left wheel,Silver,12
45803045,220,1194,TOYOTA,Tacoma,2013,Jeep,Yes,Petrol,4,239342 km,6,Automatic,4x4,04-May,Left wheel,Silver,12
45815363,15681,503,TOYOTA,Prius C,2012,Hatchback,No,Hybrid,1.5,128000 km,4,Variator,Front,04-May,Left wheel,Sky blue,8
45815361,55390,1017,HYUNDAI,Santa FE,2017,Jeep,Yes,Diesel,2,100734 km,4,Automatic,Front,04-May,Left wheel,Black,4
45815363,4391,-,MITSUBISHI,Pajero Mini,2006,Jeep,No,Petrol,0.7,314000 km,3,Manual,4x4,02-Mar,Right-hand drive,Silver,2
45777718,600,-,DAIHATSU,Mira,2012,Hatchback,No,Petrol,0.7,103000 km,3,Automatic,Front,04-May,Right-hand drive,Black,2
45778517,34889,891,HONDA,Civic,2016,Sedan,Yes,Petrol,2,87768 km,4,Automatic,Front,04-May,Left wheel,Blue,4
45815363,862,1104,AUDI,Q7,2015,Jeep,Yes,Petrol,3,264014 km,6,Automatic,4x4,04-May,Left wheel,Black,0
45813453,4704,-,OPEL,Astra suzuki mr wagon,2005,Hatchback,No,Petrol,0.7,167000 km,3,Automatic,Front,04-May,Right-hand drive,Black,2
45811265,392,1017,MERCEDES-BENZ,E 300,2017,Sedan,Yes,Petrol,2,1600 km,4,Automatic,Rear,04-May,Left wheel,Black,12
45782452,38500,639,AUDI,Q5,2014,Jeep,Yes,Petrol,2,87000 km,1,Tiptronic,4x4,04-May,Left wheel,White,12
45810199,2509,-,SUBARU,R2,2003,Sedan,No,Petrol,0.7,50000 km,3,Automatic,Front,04-May,Right-hand drive,Black,4
45815361,5645,-,SUBARU,Sambar,1997,Pickup,No,Petrol,0.7,888 km,3,Manual,4x4,02-Mar,Right-hand drive,White,2
45732847,1411,629,NISSAN,Juke,2015,Jeep,Yes,Petrol,1.6,87112 km,4,Automatic,4x4,04-May,Left wheel,Black,0
45808405,392,919,BMW,535,2012,Sedan,Yes,Petrol,3,204318 km,6,Automatic,Rear,04-May,Left wheel,Black,12
45779422,23521,781,CHEVROLET,Cruze LT,2018,Sedan,No,Petrol,1.4 Turbo,22000 km,4,Automatic,Front,04-May,Left wheel,Red,6
45805571,16935,530,FORD,Fusion,2013,Sedan,No,Petrol,1.6 Turbo,83000 km,4,Tiptronic,Front,04-May,Left wheel,Silver,8
45815382,8467,-,MITSUBISHI,I,2013,Hatchback,No,Petrol,0.7,126400 km,3,Automatic,Rear,04-May,Right-hand drive,Red,2
45803302,7213,530,NISSAN,Juke,2013,Jeep,Yes,Petrol,1.6,312118 km,4,Automatic,Front,04-May,Left wheel,Black,0
45815355,9408,-,MITSUBISHI,Minica,2006,Pickup,No,Petrol,0.7,0 km,3,Manual,4x4,02-Mar,Right-hand drive,White,0
45720276,20526,640,HYUNDAI,Tucson,2013,Jeep,Yes,Diesel,2,200279 km,4,Automatic,Front,04-May,Left wheel,Grey,4
45815363,9722,765,HYUNDAI,Sonata,2015,Sedan,Yes,LPG,2,719847 km,4,Automatic,Front,04-May,Left wheel,Orange,4
45778517,34657,777,HYUNDAI,H1,2014,Minivan,Yes,Diesel,2.5,154672 km,4,Automatic,Front,04-May,Left wheel,Silver,4
45769895,36564,1091,HYUNDAI,H1,2016,Minivan,Yes,Diesel,2.5,110969 km,4,Automatic,Front,04-May,Left wheel,Black,4
45815361,314,779,TOYOTA,Camry,2013,Sedan,Yes,Hybrid,2.5,225510 km,4,Automatic,Front,04-May,Left wheel,White,12
45793362,6400,-,DAIHATSU,Mira,2012,Hatchback,No,Petrol,0.7,103000 km,3,Variator,Front,04-May,Right-hand drive,Black,2
45782452,30063,934,HYUNDAI,H1,2015,Universal,Yes,Diesel,2.5,148105 km,4,Automatic,Front,04-May,Left wheel,Silver,4
45780138,15800,769,CHEVROLET,Captiva,2011,Jeep,Yes,Diesel,2.2,255456 km,4,Automatic,Front,04-May,Left wheel,Silver,4
45723475,43952,1249,HYUNDAI,H1,2017,Universal,Yes,Diesel,2.5,111643 km,4,Automatic,Front,04-May,Left wheel,Grey,4
44929665,53154,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,84506 km,4,Automatic,Front,04-May,Left wheel,Silver,4
45813453,14740,645,TOYOTA,Prius,2011,Hatchback,No,Hybrid,1.8,288000 km,4,Automatic,Front,04-May,Left wheel,White,8
45815363,2000,-,ZAZ,969 968m,1989,Coupe,No,Petrol,0.8,201000 km,3,Manual,Front,02-Mar,Left wheel,Blue,0
45815363,3763,1053,MERCEDES-BENZ,ML 350,2014,Jeep,Yes,Petrol,3.5,94362 km,6,Automatic,Rear,04-May,Left wheel,White,12
45812725,6586,-,DAEWOO,Matiz,2010,Hatchback,No,Petrol,0.8,128800 km,3,Manual,Front,04-May,Left wheel,Black,0
45730629,862,2455,LEXUS,GX 470,2008,Jeep,Yes,Petrol,4.7,263190 km,8,Automatic,4x4,04-May,Left wheel,White,0
45803754,220,1185,FORD,Escape,2009,Jeep,Yes,Hybrid,2.5,193614 km,4,Automatic,Front,04-May,Left wheel,White,0
45806488,5645,1324,TOYOTA,Highlander,2010,Jeep,Yes,Hybrid,3.3,264877 km,6,Automatic,4x4,04-May,Left wheel,White,12
45766567,7527,830,TOYOTA,Yaris,2019,Sedan,Yes,Petrol,1.5,27656 km,4,Automatic,Front,04-May,Left wheel,White,12
45815361,21953,1187,HONDA,Civic,2014,Sedan,No,Hybrid,1.4,16000 km,8,Automatic,4x4,04-May,Right-hand drive,White,10
45815355,31361,-,SUZUKI,Samurai,1982,Jeep,No,Petrol,0.8,29500 km,3,Manual,4x4,02-Mar,Left wheel,Blue,1
45760737,21953,781,TOYOTA,Camry,2012,Sedan,No,Petrol,2.5,195053 km,4,Automatic,Front,04-May,Left wheel,Black,0
45766567,19121,531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,121362 km,4,Automatic,Front,04-May,Left wheel,Black,4
45815392,36065,639,HYUNDAI,Santa FE,2014,Jeep,Yes,Diesel,2,69191 km,4,Automatic,Front,04-May,Left wheel,White,4
45777718,8781,1111,HONDA,FIT,2012,Hatchback,Yes,Hybrid,1.3,83000 km,4,Tiptronic,Front,04-May,Right-hand drive,Green,12
45793362,6247,760,CHEVROLET,Cruze,2010,Sedan,Yes,Petrol,1.8,40772 km,4,Automatic,Front,04-May,Left wheel,Black,4
45815220,16289,642,CHEVROLET,Orlando,2012,Jeep,Yes,Diesel,2,172000 km,4,Automatic,Front,04-May,Left wheel,Grey,4
45730629,77775,1604,MERCEDES-BENZ,GL 63 AMG,2014,Jeep,Yes,Petrol,5.5,433811 km,8,Automatic,4x4,04-May,Left wheel,Black,10
45812555,7840,-,CHEVROLET,Matiz,2006,Hatchback,No,Petrol,0.8,120000 km,3,Automatic,Front,04-May,Left wheel,Red,4
45815361,549,781,SUBARU,Forester,2012,Jeep,Yes,Petrol,2.5,148213 km,4,Automatic,4x4,04-May,Left wheel,Blue,0
45815363,6981,1095,DAEWOO,Lacetti,2008,Sedan,Yes,Petrol,2,103246 km,4,Automatic,Front,04-May,Left wheel,Black,4
45815361,27284,891,HYUNDAI,Elantra,2016,Sedan,No,Petrol,2,105394 km,4,Tiptronic,Front,04-May,Left wheel,Black,12
45815231,4547,-,FIAT,Seicento fiat 600,1998,Sedan,No,Petrol,0.9,151000 km,4,Manual,Front,02-Mar,Left wheel,Green,0
45732040,5645,-,ZAZ,969 luaz,1990,Jeep,Yes,Petrol,0.9,64525 km,4,Manual,4x4,02-Mar,Left wheel,Green,0
45792406,6586,-,TOYOTA,Passo,2008,Hatchback,No,Petrol,1,112000 km,3,Automatic,Front,04-May,Right-hand drive,Yellow,4
45815348,2195,-,NISSAN,March,1998,Hatchback,No,Petrol,1,157000 km,4,Automatic,Front,04-May,Right-hand drive,Black,2
45723475,15458,966,HYUNDAI,Genesis,2009,Coupe,Yes,Petrol,2,123346 km,4,Automatic,Front,04-May,Left wheel,Black,4
45815361,2901,473,CHEVROLET,Cruze,2014,Sedan,Yes,Petrol,1.4,80827 km,4,Automatic,Front,04-May,Left wheel,Green,12
44929665,706,1138,PORSCHE,911,2013,Coupe,Yes,Petrol,3.8,64464 km,6,Automatic,Rear,02-Mar,Left wheel,Black,12
45810013,314,382,FORD,Fusion,2015,Sedan,Yes,Hybrid,2,91760 km,4,Automatic,Front,04-May,Left wheel,Black,12
45815360,15681,1811,LEXUS,GX 460,2010,Jeep,Yes,Petrol,4.6,275240 km,8,Automatic,4x4,04-May,Left wheel,Silver,0
45815348,4077,-,NISSAN,Micra,1998,Coupe,No,Petrol,1,130000 km,4,Manual,Front,02-Mar,Left wheel,Silver,2
45748937,10663,988,TOYOTA,Prius,2007,Hatchback,No,Petrol,1.5,318400 km,4,Automatic,Front,04-May,Left wheel,Silver,6
45805571,12858,765,FORD,Focus SE,2015,Sedan,No,Petrol,2,91200 km,4,Automatic,Front,04-May,Left wheel,Sky blue,10
45815361,1019,917,BMW,X5,2013,Jeep,Yes,Diesel,3,137802 km,6,Automatic,4x4,04-May,Left wheel,Black,12
45815392,549,917,BMW,535,2013,Sedan,Yes,Hybrid,3,151586 km,6,Automatic,Rear,04-May,Left wheel,White,12
45781924,12544,-,TOYOTA,Vitz,2012,Sedan,No,Petrol,1,106000 km,3,Automatic,Front,04-May,Left wheel,White,10
45811056,13485,-,MERCEDES-BENZ,Smart Fortwo,2014,Coupe,Yes,Petrol,1,9000 km,3,Automatic,Rear,02-Mar,Left wheel,Silver,4
45815994,85553,1156,FORD,Explorer,2017,Jeep,Yes,Petrol,2.3,100567 km,4,Automatic,Front,04-May,Left wheel,Black,4
45782558,44752,1091,HYUNDAI,H1,2016,Universal,Yes,Diesel,2.5,86000 km,4,Automatic,Front,04-May,Left wheel,Grey,4
45733708,17158,687,HYUNDAI,Elantra,2010,Sedan,Yes,Petrol,1.6,122740 km,4,Automatic,Front,04-May,Left wheel,White,4
45798110,10036,-,TOYOTA,Vitz,2007,Sedan,No,Petrol,1,11111 km,3,Automatic,Front,04-May,Right-hand drive,Silver,4
45489486,11917,11714,MERCEDES-BENZ,E 500 AMG,2003,Sedan,Yes,Petrol,5,150000 km,12,Tiptronic,Rear,04-May,Right-hand drive,White,12
45810175,7840,-,NISSAN,Micra,1997,Sedan,No,CNG,1,2888 km,4,Manual,Front,02-Mar,Left wheel,Black,2
45808501,3800,-,OPEL,Agila,2001,Sedan,No,Petrol,1,184592 km,3,Manual,Front,04-May,Left wheel,Blue,4
45720276,25591,640,SSANGYONG,Korando,2013,Jeep,Yes,Diesel,2,85704 km,4,Automatic,Front,04-May,Left wheel,Silver,4
45815348,14897,836,HYUNDAI,Santa FE,2010,Jeep,Yes,Diesel,2,58962 km,4,Automatic,Front,04-May,Left wheel,White,4
45815389,23521,779,TOYOTA,Camry,2013,Sedan,Yes,Hybrid,2.5,90000 km,4,Tiptronic,Front,04-May,Left wheel,White,12
45810886,7527,-,TOYOTA,Vitz,2002,Sedan,No,Petrol,1,90000 km,4,Automatic,Front,02-Mar,Right-hand drive,Pink,2
45642769,706,777,MAZDA,616,2014,Sedan,Yes,Petrol,2.5,0 km,4,Automatic,Front,04-May,Left wheel,Red,12
45813342,1019,1537,TOYOTA,Highlander,2009,Sedan,Yes,Hybrid,3.3,318358 km,6,Automatic,4x4,04-May,Left wheel,Black,12
45814307,16935,765,FORD,Fusion,2015,Sedan,Yes,Petrol,2,71454 km,4,Automatic,Front,04-May,Left wheel,Black,0
45730150,19444,781,TOYOTA,Camry,2012,Sedan,Yes,Petrol,2.5,0 km,4,Tiptronic,Front,04-May,Left wheel,Black,6
45782558,11604,639,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2,346470 km,4,Automatic,Front,04-May,Left wheel,Silver,4
45815390,51965,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,59515 km,4,Automatic,Front,04-May,Left wheel,Blue,4
45807577,706,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,115312 km,4,Automatic,Front,04-May,Left wheel,Grey,12
45815368,5175,-,TOYOTA,Vitz,2001,Coupe,No,Petrol,1,175000 km,4,Automatic,Front,02-Mar,Right-hand drive,Pink,2
45815368,13328,1347,HYUNDAI,H1,2008,Minivan,Yes,Diesel,2.5,74444 km,4,Automatic,Front,04-May,Left wheel,Yellow,4
45815368,10349,-,TOYOTA,Vitz,2010,Hatchback,No,Petrol,1,95000 km,3,Variator,Front,04-May,Right-hand drive,Green,2
45815368,549,2866,NISSAN,Maxima,2004,Sedan,Yes,Petrol,3.5,299709 km,6,Automatic,Front,04-May,Left wheel,Grey,12
45801598,1000,-,FIAT,Panda,1995,Sedan,No,Petrol,1,1300 km,4,Manual,Front,02-Mar,Left wheel,Red,0
45809752,22894,862,HYUNDAI,H1,2011,Minivan,Yes,Diesel,2.5,124444 km,4,Automatic,Front,04-May,Left wheel,Yellow,4
45815368,2901,503,HONDA,Civic,2012,Sedan,Yes,Hybrid,1.5,146403 km,4,Automatic,Front,04-May,Left wheel,White,0
45727081,2195,-,FORD,Fiesta,1998,Sedan,No,Petrol,1,0 km,4,Manual,Front,02-Mar,Left wheel,Blue,2
45451626,39829,1811,LEXUS,GX 460,2010,Jeep,Yes,Petrol,4.6,155821 km,8,Automatic,4x4,04-May,Left wheel,Black,0
45815368,706,1646,LEXUS,GX 460,2015,Jeep,Yes,Petrol,4.6,102907 km,8,Automatic,4x4,04-May,Left wheel,Black,0
45815368,6586,-,TOYOTA,Vitz,1999,Hatchback,No,Petrol,1,0 km,4,Automatic,Front,04-May,Right-hand drive,Red,2
45815350,22580,1017,MERCEDES-BENZ,E 300,2017,Sedan,Yes,Petrol,2,50930 km,4,Automatic,Rear,04-May,Left wheel,Black,12
45732125,11604,639,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2,264872 km,4,Automatic,Front,04-May,Left wheel,Silver,4
45732125,314,259,CHEVROLET,Volt,2014,Hatchback,Yes,Hybrid,1.4,131893 km,4,Automatic,Front,04-May,Left wheel,Brown,0
45723475,5488,751,GMC,TERRAIN,2013,Jeep,Yes,Petrol,2.4,138958 km,4,Automatic,Front,04-May,Left wheel,Black,12
45815379,4547,-,NISSAN,Micra,2000,Coupe,No,Petrol,1,300000 km,4,Manual,Front,02-Mar,Left wheel,Green,2
45691966,18817,609,TOYOTA,Camry,2018,Sedan,Yes,Hybrid,2.5,35058 km,4,Automatic,Front,04-May,Left wheel,White,12
45808625,21169,697,HONDA,Hr-v EX,2015,Jeep,No,Petrol,1.8,33330 km,4,Automatic,4x4,04-May,Left wheel,Grey,8
45720276,10349,-,TOYOTA,Yaris,2006,Hatchback,No,Petrol,1,192000 km,3,Automatic,Front,04-May,Left wheel,Grey,2
45815383,1568,639,VOLKSWAGEN,Jetta,2014,Sedan,Yes,Diesel,2,82392 km,4,Automatic,Front,04-May,Left wheel,Silver,12
45769967,1000,-,FIAT,Panda,1995,Sedan,No,Petrol,1,1300 km,4,Manual,Front,02-Mar,Left wheel,Red,0
45810199,17876,585,HYUNDAI,Elantra sport limited,2013,Sedan,Yes,Petrol,1.8,117920 km,4,Tiptronic,Front,04-May,Left wheel,Grey,12
45815382,11290,891,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2,279787 km,4,Automatic,Front,04-May,Left wheel,Silver,4
45732939,36065,1399,TOYOTA,Sienna,2010,Minivan,Yes,Petrol,3.5,227200 km,6,Tiptronic,Front,04-May,Left wheel,White,16
45730150,862,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,130478 km,4,Automatic,Front,04-May,Left wheel,White,12
45788857,21395,781,HYUNDAI,H1,2012,Universal,Yes,Diesel,2.5,166144 km,4,Automatic,Front,04-May,Left wheel,Silver,4
45803754,15681,891,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2,258706 km,4,Automatic,Front,04-May,Left wheel,Silver,4
45781870,627,475,CHEVROLET,Volt,2012,Jeep,Yes,Hybrid,1.4,188419 km,4,Automatic,Front,04-May,Left wheel,Red,0
45815237,40070,690,TOYOTA,Aqua,2016,Hatchback,Yes,Petrol,1.5,25807 km,4,Automatic,Front,04-May,Left wheel,Black,4
45810467,11604,-,TOYOTA,Vitz,2012,Sedan,No,Petrol,1,110000 km,3,Automatic,Front,04-May,Right-hand drive,White,6
45815405,72130,1079,LEXUS,NX 300,2018,Jeep,Yes,Petrol,2.0 Turbo,18918 km,4,Tiptronic,Front,04-May,Left wheel,Black,6
45727061,35927,640,SSANGYONG,REXTON,2013,Jeep,Yes,Diesel,2,137267 km,4,Automatic,Front,04-May,Left wheel,Silver,4
45815230,21012,308,TOYOTA,Prius,2014,Sedan,No,Hybrid,1.8,160000 km,4,Automatic,4x4,04-May,Left wheel,White,4
45792346,21012,1823,TOYOTA,Tacoma,2018,Sedan,Yes,Petrol,3.5,27358 km,6,Automatic,Front,04-May,Left wheel,Grey,12
45689015,13172,1361,KIA,Carnival grand,2009,Minivan,Yes,Diesel,2.9,84176 km,4,Automatic,Front,04-May,Left wheel,White,6
45771901,15624,707,HYUNDAI,Genesis,2011,Coupe,Yes,Petrol,2,107005 km,4,Automatic,Front,04-May,Left wheel,Grey,4
45815390,2500,-,NISSAN,Micra,1992,Coupe,No,Petrol,1,262000 km,4,Manual,Front,02-Mar,Left wheel,Black,0
45759404,5488,1273,INFINITI,QX60,2015,Jeep,Yes,Petrol,3.5,124154 km,6,Automatic,4x4,04-May,Left wheel,Black,12
35464629,20005,531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,104997 km,4,Automatic,Front,04-May,Left wheel,White,4
45803254,36110,924,VOLKSWAGEN,Passat,2017,Sedan,Yes,Petrol,1.8,27728 km,6,Tiptronic,Front,04-May,Left wheel,Silver,8
45815397,5488,-,TOYOTA,Vitz,2000,Hatchback,Yes,Petrol,1,0 km,4,Automatic,Front,04-May,Right-hand drive,Silver,2
45803254,470,1077,MAZDA,1000,2019,Jeep,Yes,Petrol,2,11566 km,4,Automatic,4x4,04-May,Left wheel,Black,12
45815345,5645,-,TOYOTA,Passo,2005,Hatchback,No,Petrol,1,135000 km,4,Automatic,Front,04-May,Right-hand drive,White,2
45788857,43880,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,113700 km,4,Automatic,Front,04-May,Left wheel,Silver,4
45779842,29479,584,MERCEDES-BENZ,C 250,2014,Sedan,Yes,Petrol,1.8 Turbo,69000 km,4,Tiptronic,Rear,04-May,Left wheel,Grey,8
45781980,9095,-,TOYOTA,Vitz,2010,Sedan,No,Petrol,1,18000 km,3,Variator,Front,04-May,Right-hand drive,Silver,12
45815230,3700,-,NISSAN,Micra,1997,Sedan,No,Petrol,1,111111 km,4,Manual,Front,04-May,Left wheel,Blue,1
45815390,44213,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,50255 km,4,Automatic,Front,04-May,Left wheel,Red,4
45492257,8467,2078,BMW,325,2001,Sedan,Yes,Petrol,2.5,252800 km,6,Manual,Rear,04-May,Left wheel,Grey,6
45779422,627,915,AUDI,A6,2014,Sedan,Yes,Petrol,3,164488 km,6,Automatic,4x4,04-May,Left wheel,Silver,12
45801466,21950,831,FORD,Transit,2011,Goods wagon,No,Diesel,2.4 Turbo,125000 km,4,Manual,4x4,04-May,Left wheel,White,2
45815392,706,475,FIAT,500,2012,Hatchback,Yes,Petrol,1.4,164574 km,4,Automatic,Front,04-May,Left wheel,Red,12
45769143,3136,473,CHEVROLET,Cruze,2014,Sedan,Yes,Petrol,1.4,156992 km,4,Automatic,Front,04-May,Left wheel,Black,12
45779842,3500,-,NISSAN,Micra,2001,Coupe,No,Petrol,1,200000 km,4,Manual,Front,02-Mar,Left wheel,Black,3
45723475,5959,-,NISSAN,Micra,2000,Coupe,No,Petrol,1,141000 km,4,Manual,Front,02-Mar,Left wheel,Black,5
45642840,5018,-,TOYOTA,Vitz,2000,Hatchback,No,Petrol,1,111111 km,4,Automatic,Front,04-May,Right-hand drive,Pink,4
45815398,8467,-,TOYOTA,Vitz,2006,Sedan,No,Petrol,1,170000 km,4,Automatic,Front,04-May,Right-hand drive,Blue,4
45798110,314,1053,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Diesel,3.5,149486 km,6,Automatic,4x4,04-May,Left wheel,Silver,12
45759404,4077,-,VOLKSWAGEN,Lupo,2002,Hatchback,No,Petrol,1,120008 km,4,Manual,Front,02-Mar,Right-hand drive,Silver,2
45114773,12858,-,TOYOTA,Vitz,2011,Hatchback,No,Petrol,1,89000 km,3,Variator,Front,04-May,Left wheel,White,10
45815386,7213,-,TOYOTA,Vitz,2002,Hatchback,No,Petrol,1,138000 km,4,Automatic,Front,04-May,Right-hand drive,Silver,2
45815407,1490,639,VOLKSWAGEN,Jetta,2014,Universal,Yes,Diesel,2,113214 km,4,Automatic,Front,04-May,Left wheel,Grey,12
45689015,627,836,TOYOTA,Tacoma,2012,Sedan,Yes,Petrol,2.7,394069 km,4,Automatic,Rear,04-May,Left wheel,Black,12
